iso3,country,year,line_ppp,B_per_year,gdp_pc_ppp,gini,gross_pct_gdp,gap_elim_pct_gdp,net_transfer_pct_gdp,tax_rev_pct_gdp,required_avg_tax_on_gdp,B_over_mu
ARG,Argentina,2024,3.0,1095.0,26771.9657650571,42.4,3.5930634009077833,0.010779190202723348,1.1048023116467025,10.4293148817726,3.5930634009077833,0.054534658112614175
ARG,Argentina,2024,4.2,1533.0,26771.9657650571,42.4,5.030288761270897,0.035212021328896274,1.5467232363053836,10.4293148817726,5.030288761270897,0.07634852135765985
ARG,Argentina,2024,8.3,3029.5000000000005,26771.9657650571,42.4,9.940808742511537,0.43739558467050754,3.056619728889211,10.4293148817726,9.940808742511537,0.15087922077823257
BGD,Bangladesh,2024,3.0,1095.0,8486.78495660517,30.9,11.33448895578727,0.1133448895578727,2.5088459456213683,7.64236301017901,11.33448895578727,0.17203216618134035
BGD,Bangladesh,2024,4.2,1533.0,8486.78495660517,30.9,15.868284538102177,0.6823362351383936,3.5123843238699157,7.64236301017901,15.868284538102177,0.2408450326538765
BGD,Bangladesh,2024,8.3,3029.5000000000005,8486.78495660517,30.9,31.358752777678117,8.278710733307024,6.941140449552453,7.64236301017901,31.358752777678117,0.47595565976837506
BRA,Brazil,2024,3.0,1095.0,19652.365499171,50.3,4.894747676295773,0.04894747676295773,1.806021130966366,15.4102340832552,4.894747676295773,0.07429131114326097
BRA,Brazil,2024,4.2,1533.0,19652.365499171,50.3,6.852646746814083,0.13705293493628165,2.5284295833529127,15.4102340832552,6.852646746814083,0.10400783560056537
BRA,Brazil,2024,8.3,3029.5000000000005,19652.365499171,50.3,13.542135237751642,1.0156601428313732,4.996658462340281,15.4102340832552,13.542135237751642,0.20553929416302205
CAN,Canada,2024,3.0,1095.0,57534.0915185335,31.5,1.6721911210519116,0.003344382242103824,0.3775195091526228,13.7145570395982,1.6721911210519116,0.025376258866096617
CAN,Canada,2024,4.2,1533.0,57534.0915185335,31.5,2.341067569472676,0.004682135138945353,0.5285273128136718,13.7145570395982,2.341067569472676,0.035526762412535266
CAN,Canada,2024,8.3,3029.5000000000005,57534.0915185335,31.5,4.62639543491029,0.013879186304730865,1.0444706419889231,13.7145570395982,4.62639543491029,0.07020764952953398
CHN,China,2024,3.0,1095.0,23841.4769141817,36.0,4.034706855914781,0.0,1.0455487399158188,7.01806095279297,4.034706855914781,0.06123781698823966
CHN,China,2024,4.2,1533.0,23841.4769141817,36.0,5.648589598280693,0.0,1.4637682358821464,7.01806095279297,5.648589598280693,0.08573294378353552
CHN,China,2024,8.3,3029.5000000000005,23841.4769141817,36.0,11.162688968030894,0.5469717594335138,2.892684847100432,7.01806095279297,11.162688968030894,0.1694246270007964
DEU,Germany,2024,3.0,1095.0,62654.602264023,33.7,1.480590048243965,0.008883540289463789,0.3583379852864709,10.890812364142,1.480590048243965,0.023302358442044552
DEU,Germany,2024,4.2,1533.0,62654.602264023,33.7,2.072826067541551,0.012436956405249305,0.5016731794010593,10.890812364142,2.072826067541551,0.032623301818862374
DEU,Germany,2024,8.3,3029.5000000000005,62654.602264023,33.7,4.09629913347497,0.03686669220127473,0.9914017592925696,10.890812364142,4.09629913347497,0.06446985835632327
EGY,"Egypt, Arab Rep.",2024,3.0,1095.0,16798.151577838,28.5,5.726425905555686,0.011452851811111374,1.16674246483805,12.5192110970171,5.726425905555686,0.08691432466451815
EGY,"Egypt, Arab Rep.",2024,4.2,1533.0,16798.151577838,28.5,8.01699626777796,0.09620395521333552,1.6334394507732701,12.5192110970171,8.01699626777796,0.1216800545303254
EGY,"Egypt, Arab Rep.",2024,8.3,3029.5000000000005,16798.151577838,28.5,15.843111672037402,2.5982703142141337,3.227987486051939,12.5192110970171,15.843111672037402,0.24046296490516691
FIN,Finland,2024,3.0,1095.0,55901.3202296588,27.4,1.6810675125057648,0.001681067512505765,0.3290116260271967,25.3281786132257,1.6810675125057648,0.026117451144300304
FIN,Finland,2024,4.2,1533.0,55901.3202296588,27.4,2.3534945175080706,0.004706989035016142,0.4606162764380754,25.3281786132257,2.3534945175080706,0.03656443160202043
FIN,Finland,2024,8.3,3029.5000000000005,55901.3202296588,27.4,4.65095345126595,0.01395286035379785,0.9102654986752442,25.3281786132257,4.65095345126595,0.07225828149923086
FRA,France,2024,3.0,1095.0,54799.3482689389,31.8,1.75131226910154,0.0,0.39925488858591185,22.778486344686,1.75131226910154,0.02664265262489536
FRA,France,2024,4.2,1533.0,54799.3482689389,31.8,2.451837176742156,0.002451837176742156,0.5589568440202766,22.778486344686,2.451837176742156,0.037299713674853505
FRA,France,2024,8.3,3029.5000000000005,54799.3482689389,31.8,4.845297277847595,0.004845297277847594,1.1046051917543562,22.778486344686,4.845297277847595,0.07371133892887717
GBR,United Kingdom,2024,3.0,1095.0,53412.0647163589,32.4,1.7425354415418315,0.005227606324625493,0.4049703502082149,26.8890215407942,1.7425354415418315,0.027334648225138453
GBR,United Kingdom,2024,4.2,1533.0,53412.0647163589,32.4,2.439549618158564,0.007318648854475692,0.5669584902915008,26.8890215407942,2.439549618158564,0.03826850751519383
GBR,United Kingdom,2024,8.3,3029.5000000000005,53412.0647163589,32.4,4.8210147215990675,0.02410507360799534,1.1204179689093947,26.8890215407942,4.8210147215990675,0.07562586008954973
IDN,Indonesia,2024,3.0,1095.0,14470.7179806578,34.9,6.647449731890253,0.05317959785512203,1.668097071005455,11.0577865188848,6.647449731890253,0.10089340431839666
IDN,Indonesia,2024,4.2,1533.0,14470.7179806578,34.9,9.306429624646354,0.3722571849858542,2.335335899407637,11.0577865188848,9.306429624646354,0.14125076604575532
IDN,Indonesia,2024,8.3,3029.5000000000005,14470.7179806578,34.9,18.391277591563036,4.652993230665449,4.615068563115093,11.0577865188848,18.391277591563036,0.2791384186142308
IND,India,2024,3.0,1095.0,9416.05137044735,25.5,10.215892689656458,0.08172714151725169,1.8581873314245358,6.93372148022965,10.215892689656458,0.15505437922548593
IND,India,2024,4.2,1533.0,9416.05137044735,25.5,14.302249765519042,0.629298989682838,2.6014622639943505,6.93372148022965,14.302249765519042,0.2170761309156803
IND,India,2024,8.3,3029.5000000000005,9416.05137044735,25.5,28.263969774716205,8.79009459993674,5.14098495027455,6.93372148022965,28.263969774716205,0.42898378252384445
IRN,"Iran, Islamic Rep.",2024,3.0,1095.0,17484.1320140467,35.9,5.501752691154552,0.02750876345577276,1.421608783890583,7.35847804149632,5.501752691154552,0.08350428827848247
IRN,"Iran, Islamic Rep.",2024,4.2,1533.0,17484.1320140467,35.9,7.7024537676163725,0.13094171404947835,1.9902522974468162,7.35847804149632,7.7024537676163725,0.11690600358987546
IRN,"Iran, Islamic Rep.",2024,8.3,3029.5000000000005,17484.1320140467,35.9,15.221515778860931,1.720031283011285,3.9331176354306137,7.35847804149632,15.221515778860931,0.23102853090380154
JPN,Japan,2024,3.0,1095.0,47479.8448545667,32.3,2.0219265929701495,0.010109632964850748,0.46840835583091117,11.1445521483154,2.0219265929701495,0.030749889863205284
JPN,Japan,2024,4.2,1533.0,47479.8448545667,32.3,2.8306972301582096,0.02264557784126568,0.6557716981632757,11.1445521483154,2.8306972301582096,0.0430498458084874
JPN,Japan,2024,8.3,3029.5000000000005,47479.8448545667,32.3,5.593996907217415,0.08390995360826121,1.295929784465521,11.1445521483154,5.593996907217415,0.0850746952882013
KEN,Kenya,2024,3.0,1095.0,5841.59866001706,38.5,16.46695981002259,2.2395065341630724,4.575985368513718,14.0631113797385,16.46695981002259,0.24993158294030013
KEN,Kenya,2024,4.2,1533.0,5841.59866001706,38.5,23.053743734031627,5.970919627114192,6.4063795159192045,14.0631113797385,23.053743734031627,0.34990421611642014
KEN,Kenya,2024,8.3,3029.5000000000005,5841.59866001706,38.5,45.55858880772918,24.14605206809646,12.660226186221289,14.0631113797385,45.55858880772918,0.6914773794681638
MEX,Mexico,2024,3.0,1095.0,21970.3520412926,42.6,4.24084058281577,0.016963362331263082,1.3104699908036066,14.8241106773063,4.24084058281577,0.06645319097554626
