iso3,country,year,population_M,adults_M,account_own_pct,no_account_M,internet_pct,offline_M,tax_rev_pct,elec_pct
ARG,Argentina,2024,45.696159,34.71996590000002,81.7442446865007,6.338392019634395,89.66715228,4.721714523359077,10.4293148817726,98.4
BGD,Bangladesh,2021,167.658854,125.6631375752416,52.8060649194004,59.30537956750409,38.91744466,102.4103122769598,7.64236301017901,99.0
BRA,Brazil,2024,211.998573,168.08450145357168,86.3811782311541,22.891128674015125,84.46347227,32.9372170813493,15.4102340832552,99.8
CAN,Canada,2024,41.262329,30.98350680771599,98.4047126063262,0.4942759782215585,94.353302,2.3299591063964225,13.7145570395982,100.0
CHN,China,2024,1408.975,1117.6964545955711,89.3830319754266,118.66547519620224,92.0,112.71799999999995,7.01806095279297,100.0
DEU,Germany,2024,83.516593,60.87879610388034,98.2983235670699,1.0359601259512992,93.49999579,5.428582061048565,10.890812364142,100.0
EGY,"Egypt, Arab Rep.",2014,97.528654,70.12643840000003,14.1267970490146,60.21981876952977,33.8946039115275,64.47170302645588,12.2201408450704,99.8
FIN,Finland,2024,5.619911,4.016526616348439,99.842681813058,0.006318726850882283,93.72405196,0.35270269425424444,25.3281786132257,100.0
FRA,France,2024,68.551653,48.91045074270391,99.1902372350206,0.39605861829800354,88.65381638,7.777996423925242,22.778486344686,100.0
GBR,United Kingdom,2024,69.281,50.79349396730533,99.2843092777584,0.3635243238263521,95.4720993,3.1369748839669986,26.8890215407942,100.0
IND,India,2017,1359.6574,1037.7914485,79.8753284971461,208.85211989533414,18.20000076,1112.1997428666039,11.3874439798131,91.8
KEN,Kenya,2021,53.219166,36.45189739246961,79.1951576168317,7.583759798177542,26.96290016,38.86973540543533,13.554644324086,76.5
MEX,Mexico,2024,130.861007,101.07957669999998,53.0320833316729,47.47497135315376,83.12233799,22.086278464342435,14.8241106773063,99.8
PHL,Philippines,2024,115.84367,88.78258683320001,50.1824221429254,44.229334319154276,67.26300914,37.923731659788565,14.369653991008,94.8
RUS,Russian Federation,2024,143.669648,108.53406222468476,79.3421267068262,22.420829054309774,94.36495368,8.095851212580959,10.8718510370824,100.0
TUR,Turkiye,2024,85.518661,66.93281467682898,81.5545478352063,12.34606031376451,87.3078767,10.854133898629016,17.6239296509985,100.0
USA,United States,2024,340.003797,254.14159387344858,97.0230983290589,7.565545354575038,94.69380188,18.041275084342633,10.7694743667429,100.0
WLD,World,2024,8140.897523,6111.572538568377,78.7424041479406,1299.1733904543125,71.2,2344.5784866239997,13.8198940212417,91.9264843853681
ZAF,South Africa,2024,64.007187,49.55800803712843,81.1259662052011,9.353595184956777,78.35759735,13.85269313547845,25.8775949092475,90.2
