iso3,country,incremental_pct_gdp,carbon_rev_75usd_pct_gdp,income_tax_uplift_pp,tax_increase_pct_of_current
DNK,Denmark,-0.7200001496808985,0.5011356345578649,-0.7200001496808985,-1.6363639765474967
SWE,Sweden,-0.8079710285807256,0.4321150227883646,-0.8079710285807256,-1.9375804042703249
NOR,Norway,-1.2167939321760475,0.5278951655297361,-1.2167939321760475,-2.7467131651829515
ISL,Iceland,-1.1731199782008406,1.0815708239583999,-1.1731199782008406,-3.039170927981452
EST,Estonia,-0.6024921852893712,1.1022596333643393,-0.6024921852893712,-1.8257338948162765
NLD,Netherlands,-1.3331150743280995,0.6787010554281521,-1.3331150743280995,-3.5081975640213146
CHE,Switzerland,-0.14469264455455022,0.3125858882827111,-0.14469264455455022,-0.5460099794511329
FIN,Finland,-1.0856821793464366,0.7108230966965761,-1.0856821793464366,-2.6873321270951402
DEU,Germany,-0.15952459954053122,0.8203020741683896,-0.15952459954053122,-0.4165133147272356
FRA,France,-0.44050600580222365,0.5273850243181557,-0.44050600580222365,-1.003430537134906
GBR,United Kingdom,-0.3519413079018392,0.6341923538009434,-0.3519413079018392,-0.9970008722431706
USA,United States,1.057998469636285,1.4290688806805185,1.057998469636285,3.8194890600587907
CAN,Canada,-0.4847325229931414,1.6849480061856417,-0.4847325229931414,-1.4600377198588594
AUS,Australia,-0.14469264455455022,1.7685111881711537,-0.14469264455455022,-0.4888265018734804
JPN,Japan,-0.3667125450708806,1.2255519241488952,-0.3667125450708806,-1.0785663090320017
KOR,"Korea, Rep.",-0.27802143919601185,1.5360087434923584,-0.27802143919601185,-0.911545702282006
SGP,Singapore,-0.851906251213105,0.497870025525121,-0.851906251213105,
ARE,United Arab Emirates,-1.2313453590168502,2.174160523573799,-1.2313453590168502,
ESP,Spain,-0.20399381814751827,0.6980987412438336,-0.20399381814751827,-0.5439835150600487
ITA,Italy,-0.07046543710614994,0.7208742425882052,-0.07046543710614994,-0.16425509814953368
AUT,Austria,-0.5289224351997124,0.7221129365034121,-0.5289224351997124,-1.2271982255213745
PRT,Portugal,-0.1298562183523151,0.5901938570826848,-0.1298562183523151,-0.3528701585660736
POL,Poland,-0.9250587214236203,1.2397094898481251,-0.9250587214236203,-2.628007731317103
LUX,Luxembourg,-0.17435210143114865,0.6070222138259072,-0.17435210143114865,-0.4470566703362786
NZL,New Zealand,-0.851906251213105,0.952881451623689,-0.851906251213105,-2.5972751561375156
ISR,Israel,0.5276580518640195,0.8328810258572772,0.5276580518640195,1.6285742341482083
